user_id,state
R12GCq7XczBpP99KzenLAQ,NV
LKP0Yq9T7Ss6oiDZnVtQwQ,AZ
C6J6aogoZ5bXWOZ76Mg36A,NV
3OiDwaa-U5_UE0AhUqzVmg,OH
SX_SMrddkDU5dySbsZMu9A,AB
H5Asta4LpiKmRhSjWaogIg,AB
gH0dJQhyKUOVCKQA6sqAnw,PA
X4FlbqinfezlvhLFSZoeXA,AL
iUB66xsWTcZLFlc4kQSxhQ,ON
gH0dJQhyKUOVCKQA6sqAnw,IL
JCBBmqUxWeEX8Y0tmYgD8g,CA
k24kSTpZHUdEd-QYXLy3fQ,AZ
mm9WYrFhiNqvHCyhQKw3Mg,QC
angEr2YcXmCl20s8WQu32w,AB
0gZ8E5tBWTEtGEZDuTzhzw,PA
iBuWNB9koLWgT0bMPg3eBg,CA
h-ajC_UHD0QAyAzySN6g2A,QC
R12GCq7XczBpP99KzenLAQ,ON
H4EQn0rjFuGRgIm6c9NFLg,AZ
KBoIRjxSW7OWczv8OS9Bew,AZ
9SWtEX1k9AjRg93BAzMCpg,IL
DjYQCdUMtSDy5-uF8RoEOg,OH
6YmRpoIuiq8I19Q8dHKTHw,CT
Hv_q_ZnSIoZwdcoH0CyV2Q,ON
O3pSxv1SyHpY4qi4Q16KzA,NE
oDiq1W7oaJtmqy9aWXdMfg,OH
YA-caxALI4C-eCiSM97new,WI
XGufJ5VHHUr2uv2RJt9E9Q,ON
WnUDyIE3YWdHcON-i-1MKw,NC
4ZQq0ozRs-gXSz1z55iIDw,MB
IZXnSMdOkVdFH-mw6zQBbA,OH
8Cc9FbfwlwBvp__G6_SLvw,NV
frQs7y5qa-X1pvAM0sJe1w,PA
A-U-K9z9oraMH7eBZW1dOA,PA
jnn504CkjtfbYIwBquWmBw,NV
BDmxm7aeWFOLT35gSvkmig,PA
AJcwRgdkHtu3kOrEKlXq8A,MB
oS2O8YQ31HTSTQgPQKc7Cg,OH
Aw0bUOr_yJ4JWW7_XyltUw,AL
2jKzO_01d12oiu-2bOYcYg,NY
oegRUjhGbP62M18WyAL6pQ,NC
WXlxViTwXHPBvhioljN9PQ,WI
Gua5GdTlTWJpovtG7Hdtyg,IL
pm7K54T6OmsDHREtiVBWGQ,AB
iBuWNB9koLWgT0bMPg3eBg,IL
ae7zi8F0B6l_JCITh1mXDg,IL
coKnuxLznH0FHb34m4ZLCw,IL
ZEq0WtRJD9Bl_vYgCsbfOg,OH
iUB66xsWTcZLFlc4kQSxhQ,OH
LaiylSIbrA3aPvOYtl-J4A,NV
Gua5GdTlTWJpovtG7Hdtyg,SC
A-U-K9z9oraMH7eBZW1dOA,NC
8bKpyXdiYF3ZKIB3QyEiVQ,NV
_ZsXsLg6rHvCzud00Pgk7w,PA
Gua5GdTlTWJpovtG7Hdtyg,ON
R12GCq7XczBpP99KzenLAQ,OH
EApzjWbLY-s0VKh5BwcR6Q,NC
2jKzO_01d12oiu-2bOYcYg,AZ
JCBBmqUxWeEX8Y0tmYgD8g,TX
jnn504CkjtfbYIwBquWmBw,QC
pDNeS1nbkKS7mJmhRQJPig,NC
Z9a1tDT8fVI75qXYwNhPpw,NV
FFLDVmktx5kkAANhTR0Szg,CA
ZngF2uBYrqyFjXd6LvuluQ,OH
WdD8hWn-NjSyDYoHqin_tQ,NV
ZZvfGGLnAkSBSUduV7KN-w,SC
DeVGAiOf2mHVUDfxvuhVlQ,OH
0gZ8E5tBWTEtGEZDuTzhzw,ON
IZXnSMdOkVdFH-mw6zQBbA,SC
3Hn5PexeY0tir0uFWk4jJg,TX
DgfsJqg_gozVgaeZ5vjllA,TX
_Wiq1GSIjoOx3S3KtRTBtg,CT
mm9WYrFhiNqvHCyhQKw3Mg,OH
ZXwvMYWNfa0WoZ2mzU1QOA,CA
4ONcRRisDZkbV1cviA7nFw,IL
DjYQCdUMtSDy5-uF8RoEOg,SC
DgfsJqg_gozVgaeZ5vjllA,WI
3Hn5PexeY0tir0uFWk4jJg,OH
e0Jn0ZjqL-dWi7Brs0bbmg,NV
1XrB44t6fDgSabcsWbI0Qw,AL
gH0dJQhyKUOVCKQA6sqAnw,AZ
Hv_q_ZnSIoZwdcoH0CyV2Q,SC
dnb5YD_qxGybsARPG3bQ0g,QC
Gua5GdTlTWJpovtG7Hdtyg,NV
ORJnGXXkS9tQBTNyPQJF9A,OH
ORJnGXXkS9tQBTNyPQJF9A,QC
OLR4DvqFxCKLOEHqfAxpqQ,CA
QvLg2kxqHHahxxOlHlEIZw,QC
mm9WYrFhiNqvHCyhQKw3Mg,NC
SVC0CajvmYfH5uAq4JnGvg,ON
l-1cva9rA8_ugLrtSdKAqA,QC
5XKjVehgGzb5dJocdI-36Q,CA
Nf_Jw_W_CwOz5WJ7ApSMxg,WI
9SWtEX1k9AjRg93BAzMCpg,AB
H5Asta4LpiKmRhSjWaogIg,PA
H4EQn0rjFuGRgIm6c9NFLg,WI
tcWnoX_IfuDmlDl6o6y3_g,QC
_UrgR8x-enYzt-XgnjJ3wQ,NC
X4FlbqinfezlvhLFSZoeXA,NE
e0Jn0ZjqL-dWi7Brs0bbmg,NY
B7IvZ26ZUdL2jGbYsFVGxQ,NV
0gZ8E5tBWTEtGEZDuTzhzw,NV
54zqyneshZvyWymZLE6mJw,OH
Oa3dZfQdeWEC2ZFlrN02qQ,TX
ZXyGw3Z1DyhK1sfNtpcyYA,WI
HLY9oDcVBH9D25lU4X_V5Q,NC
pDNeS1nbkKS7mJmhRQJPig,OH
Eypq5gLLjCapBVVnMw_MyA,AL
mm9WYrFhiNqvHCyhQKw3Mg,CA
AJcwRgdkHtu3kOrEKlXq8A,NV
5_vvuAY9sOVbJtBon8ce2A,PA
WdD8hWn-NjSyDYoHqin_tQ,NC
Hv_q_ZnSIoZwdcoH0CyV2Q,OH
YA-caxALI4C-eCiSM97new,SC
RMopAcH2eoiOuPkStfg_YQ,NY
A-U-K9z9oraMH7eBZW1dOA,OH
cyuDrrG5eEK-TZI867MUPA,PA
m4fBjPA4SSIzQaNtr45Uow,QC
DjYQCdUMtSDy5-uF8RoEOg,ON
DjYQCdUMtSDy5-uF8RoEOg,NC
7cQeGWqTfQcg2O8WmjwIAg,NE
S1cjSFKcS5NVc3o1MkfpwA,ON
QvLg2kxqHHahxxOlHlEIZw,AZ
_ZsXsLg6rHvCzud00Pgk7w,MB
54zqyneshZvyWymZLE6mJw,ON
QUYbGl1DL-9faG150MQ7zA,AB
BO1A62kTQk4MfwZPOD9sKg,NE
kmjsIXWv3JJQpnB9USgHBQ,ON
LgFDWZTLi1w9OGi5BtKORg,ON
C6J6aogoZ5bXWOZ76Mg36A,AB
A6eI3xr2S5uQq6qZjRFWKw,OH
e0Jn0ZjqL-dWi7Brs0bbmg,ON
WgEKUJoh5msZlOlTCKnKtg,AZ
DgfsJqg_gozVgaeZ5vjllA,IL
BE4fE4R3TaVn8xy4sYYjbg,QC
8bKpyXdiYF3ZKIB3QyEiVQ,NC
ZZvfGGLnAkSBSUduV7KN-w,NV
VDsnV9Xc-akVbJC0hVtAQw,NY
e5sdXDOkCf0sIUAivXVluA,IL
ZXyGw3Z1DyhK1sfNtpcyYA,TX
XGufJ5VHHUr2uv2RJt9E9Q,OH
ZEq0WtRJD9Bl_vYgCsbfOg,NC
k24kSTpZHUdEd-QYXLy3fQ,ON
XGufJ5VHHUr2uv2RJt9E9Q,NV
InDrrRvQ9f732YGPX4Ixmg,ON
Gua5GdTlTWJpovtG7Hdtyg,OH
ZEq0WtRJD9Bl_vYgCsbfOg,SC
ZZvfGGLnAkSBSUduV7KN-w,OH
KrT4LHYdRt-m1DMPtVKN4w,QC
oDiq1W7oaJtmqy9aWXdMfg,NV
YA-caxALI4C-eCiSM97new,PA
AH3OZj4glpss6xXpOEHF7Q,AB
ZEq0WtRJD9Bl_vYgCsbfOg,ON
Z9a1tDT8fVI75qXYwNhPpw,NC
bWoIe5ehjIxOMeElNzXShQ,ON
tbNXzrBqG6WTnKZK66WjXQ,NV
A6eI3xr2S5uQq6qZjRFWKw,MB
rp10AQdPM9MIxNzxj6SOZw,ON
JFOJU09eb2MyaUxq1iz9yQ,QC
pDNeS1nbkKS7mJmhRQJPig,IL
Aw0bUOr_yJ4JWW7_XyltUw,NE
rp10AQdPM9MIxNzxj6SOZw,NV
pDNeS1nbkKS7mJmhRQJPig,AB
eOIMO2wT_WbNqmavhnCRxw,OH
453V8MlGr8y61PpsDAFjKQ,TX
pm7K54T6OmsDHREtiVBWGQ,TX
Oa3dZfQdeWEC2ZFlrN02qQ,WI
JCBBmqUxWeEX8Y0tmYgD8g,QC
ae7zi8F0B6l_JCITh1mXDg,WI
dnb5YD_qxGybsARPG3bQ0g,WI
pDNeS1nbkKS7mJmhRQJPig,NV
frQs7y5qa-X1pvAM0sJe1w,TX
FyQrUamokaPLDrBxGmzPnA,TX
LgFDWZTLi1w9OGi5BtKORg,NC
iUB66xsWTcZLFlc4kQSxhQ,NY
ae7zi8F0B6l_JCITh1mXDg,AB
JFOJU09eb2MyaUxq1iz9yQ,NV
iBuWNB9koLWgT0bMPg3eBg,AB
ejBGQeL177ECBqgMXe7sdg,SC
JCBBmqUxWeEX8Y0tmYgD8g,PA
